Event,Survey,Count,Total,Percent,Survey Rank
Affordable Care Act,Pew,101,2025,5,18
Berlin Wall/End of Cold War,Pew,263,2025,13,8
Bin Laden,Pew,122,2025,6,16
Black Lives Matter Movement,Pew,,2025,,
Boston Marathon Bombing,Pew,101,2025,5,18
Bush Presidency,Pew,,2025,,
Challenger Disaster,Pew,122,2025,6,16
Civil Rights Movement,Pew,162,2025,8,12
Climate Change,Pew,,2025,,
Columbine Shooting,Pew,142,2025,7,14
Death of Michael Jackson,Pew,,2025,,
Death of Robin Williams,Pew,,2025,,
Gay Marriage,Pew,223,2025,11,9
Gulf War,Pew,203,2025,10,10
Housing Crash/Recession,Pew,,2025,,
Hurricane Katrina,Pew,162,2025,8,12
Iraq/Afghanistan Wars,Pew,344,2025,17,6
Islamic State/ISIS,Pew,,2025,,
JFK Assassination,Pew,425,2025,21,4
Legalization of Marijuana,Pew,,2025,,
MLK Assassination,Pew,142,2025,7,14
Moon Landing,Pew,344,2025,17,6
Obama Election/Presidency,Pew,810,2025,40,2
Oklahoma City Bombing,Pew,101,2025,5,18
Orlando/Pulse Shooting,Pew,203,2025,10,10
Paris Shooting,Pew,,2025,,
Rise of Russia/Putin,Pew,,2025,,
Sandy Hook Shooting,Pew,101,2025,5,18
September 11th,Pew,1539,2025,76,1
Shifting Republican Party,Pew,,2025,,
Techology Revolution,Pew,446,2025,22,3
Trump/Clinton Election,Pew,,2025,,
USSR,Pew,101,2025,5,18
Vietnam War,Pew,405,2025,20,5
Wikileaks,Pew,,2025,,
Women's March on Washington,Pew,,2025,,
WWII,Pew,101,2025,5,18
Other,Pew,,2025,,
Affordable Care Act,Class,8,32,25,12
Berlin Wall/End of Cold War,Class,2,32,6,22
Bin Laden,Class,11,32,34,9
Black Lives Matter Movement,Class,3,32,9,17
Boston Marathon Bombing,Class,9,32,28,11
Bush Presidency,Class,2,32,6,22
Challenger Disaster,Class,2,32,6,22
Civil Rights Movement,Class,1,32,3,32
Climate Change,Class,2,32,6,22
Columbine Shooting,Class,2,32,6,22
Death of Michael Jackson,Class,2,32,6,22
Death of Robin Williams,Class,2,32,6,22
Gay Marriage,Class,23,32,72,3
Gulf War,Class,0,32,0,35
Housing Crash/Recession,Class,6,32,19,13
Hurricane Katrina,Class,12,32,38,8
Iraq/Afghanistan Wars,Class,14,32,44,6
Islamic State/ISIS,Class,3,32,9,17
JFK Assassination,Class,0,32,0,35
Legalization of Marijuana,Class,5,32,16,14
MLK Assassination,Class,1,32,3,32
Moon Landing,Class,2,32,6,22
Obama Election/Presidency,Class,26,32,81,1
Oklahoma City Bombing,Class,0,32,0,35
Orlando/Pulse Shooting,Class,5,32,16,14
Paris Shooting,Class,3,32,9,17
Rise of Russia/Putin,Class,2,32,6,22
Sandy Hook Shooting,Class,11,32,34,9
September 11th,Class,23,32,72,3
Shifting Republican Party,Class,2,32,6,22
Techology Revolution,Class,21,32,66,5
Trump/Clinton Election,Class,24,32,75,2
USSR,Class,0,32,0,35
Vietnam War,Class,3,32,9,17
Wikileaks,Class,3,32,9,17
Women's March on Washington,Class,4,32,13,16
WWII,Class,1,32,3,32
Other,Class,14,32,44,6
